Id,Name,City,State,Country,Latitude,Longitude,TotalInvoices,LastYearInvoices
"aca7789a-5fd8-dc11-bd0d-00101826f7f4","CINCOM CINCINNATI","CINCINNATI","OH","USA","39.27891","-84.46995","2050.00","0.00"
"cba326bb-4294-4a7b-af1b-4c2b59db0a0f","Cision","Chicago","IL","USA","41.87725","-87.62445","140226.50","0.00"
"ae32f234-95e7-db11-882b-0003ff9e2b47","Citizens Energy","Boston","MA","USA","42.34395","-71.02805","1037207.17","611.25"
"3591fba3-95ff-de11-a75b-00101826f7f4","Clayco, Inc.","Saint Louis","MO","US","38.69234","-90.35209","48179.59","47803.34"
"3d0a79d6-b85a-e211-92f3-0026b9f9e50c","ClearSlide, Inc.","San Francisco","CA","","37.79041","-122.39928","288716.04","168725.00"
"ebfa1798-56e1-db11-8eef-0003ff9e2b47","CliftonLarsonAllen","CLINTON","WI","US","43.04072","-88.03649","252561.61","37625.00"
"31473030-3030-3030-7764-314b74494149","CME Group","Chicago","Illinois","United States","41.88253","-87.63751","477592.79","195855.77"
"939430cf-d61e-e211-bb4e-0026b9f9e50c","CohnReznick LLP","New York","NY","","40.75829","-73.98119","14000.00","14000.00"
"55296ed5-a854-4f91-b35d-162b313d0f43","Combined Insurance Company of America","Chicago","IL","US","41.88526","-87.62149","2191.00","0.00"
"0b5ab49e-73fb-dc11-a14f-00101826f7f4","Comfort Inn, Suites, And Hotels","Silver Spring","MD","","39.03208","-77.00411","0.00","0.00"
"86683c1e-3f8a-450b-acf6-fbb9eb7d8c2d","ComPsych Employee Assistance","Chicago","IL","USA","41.89249","-87.61895","11666.00","0.00"
"6058b7dc-a06f-dd11-bee3-00101826f7f4","CompTIA","Oakbrook Terrace","IL","","41.84872","-87.99133","11309.00","0.00"
"045e29ec-ba9e-dd11-bee3-00101826f7f4","Cook County Clerks Office","Chicago","IL","","41.88285","-87.63002","232588.50","0.00"
"1acfea87-6f07-df11-a75b-00101826f7f4","Corbion","Lenexa","KS","US","38.98465","-94.72268","760602.91","0.00"
"31473030-3030-3031-4231-793468494142","Core BTS","Indianapolis","Indiana","United States","39.93226","-86.16279","63789.91","15733.95"
"8bee34ab-55d7-e211-8486-0026b9f9e50c","CSIG","Chicago","IL","","41.88034","-87.63007","3748.75","0.00"
"31473030-3030-3031-5565-473135494146","Curriculum Associates","North Billerica","MA","","42.57431","-71.29444","228500.52","212228.02"
"78afad22-0079-dd11-bee3-00101826f7f4","Davey Tree","Kent","OH","USA","41.17119","-81.35366","310133.13","0.00"
"15c43696-cf93-dc11-b282-00101826f7f4","Davies Smith Developments","Toronto ","ONT","Canada","43.62545","-79.55925","29175.00","0.00"
"47c31765-2dd7-e111-aa06-0026b9f9e50c","DCI Consulting Group","Washington DC","DC","USA","38.90127","-77.04446","533196.49","255.00"
"a09514c8-5124-413d-95f2-8d9cbd166082","Deloitte LLP","New York","NY","","40.76719","-73.99181","1298973.15","735596.25"
"98e7f307-9ea3-e211-92f3-0026b9f9e50c","Delta Dental of Wisconsin","Stevens Point","WI","","44.52821","-89.63914","0.00","0.00"
